label,text_advisory
2,"Exercise increased caution in Tajikistan due to terrorism . On July 29, 2018, two U.S. citizens were killed in a terrorist attack in Danghara province. Terrorists have targeted bicyclists and may target other places, such as residential areas, clubs and restaurants, places of worship, hotels, schools, outdoor recreation events, and other venues, although Government of Tajikistan facilities remain the most likely target. Facilities catering to westerners in Tajikistan present a heightened risk. Avoid large crowds and public transportation to the extent possible. Tourists should avoid activities that develop predictable patterns of movement. If documenting your travel on social media, please ensure your privacy settings are appropriately set. Monitor local media for breaking events and adjust your plans based on new information. Avoid demonstrations and protests. Be aware of your surroundings. Stay alert in locations frequented by Westerners. Review the Traveler’s Checklist ."
2,"Exercise increased caution in China due to arbitrary enforcement of local laws as well as special restrictions on dual U.S.-Chinese nationals. Chinese authorities have asserted broad authority to prohibit U.S. citizens from leaving China by using ‘exit bans,’ sometimes keeping U.S. citizens in China for years. China uses exit bans coercively: to compel U.S. citizens to participate in Chinese government investigations, to lure individuals back to China from abroad, and to aid Chinese authorities in resolving civil disputes in favor of Chinese parties. In most cases, U.S. citizens only become aware of the exit ban when they attempt to depart China, and there is no method to find out how long the ban may continue. U.S. citizens under exit bans have been harassed and threatened. U.S. citizens may be detained without access to U.S. consular services or information about their alleged crime. U.S. citizens may be subjected to prolonged interrogations and extended detention for reasons related to “state security.” Security personnel may detain and/or deport U.S. citizens for sending private electronic messages critical of the Chinese government. Extra security measures, such as security checks and increased levels of police presence, are common in the Xinjiang Uighur and Tibet Autonomous Regions. Authorities may impose curfews and travel restrictions on short notice. China does not recognize dual nationality. U.S.-Chinese citizens and U.S. citizens of Chinese heritage may be subject to additional scrutiny and harassment, and China may prevent the U.S. Embassy from providing consular services. Enter China on your U.S. passport with a valid Chinese visa and keep it with you. If you are arrested or detained, ask police or prison officials to notify the U.S. Embassy or the nearest consulate immediately. If you plan to enter North Korea, read the North Korea Travel Advisory . Follow the U.S. Embassy on Twitter , WeChat , and Weibo . Review the Traveler’s Checklist ."
4,"Do not travel to Syria due to terrorism, civil unrest, kidnapping, and armed conflict . No part of Syria is safe from violence. Kidnappings, the use of chemical warfare, shelling, and aerial bombardment pose significant risk of death or serious injury. The destruction of infrastructure, housing, medical facilities, schools, and power and water utilities has also increased hardships inside the country. The U.S. Embassy in Damascus suspended its operations in February 2012. The Czech Republic serves as the protecting power for the United States in Syria. The range of consular services that the Czech Republic provides to U.S. citizens is extremely limited, and the U.S. government is unable to provide emergency services to U.S. citizens in Syria. U.S. citizens in Syria who seek consular services should try to quickly and safely leave the country and contact a U.S. embassy or consulate in a neighboring country, if possible. A porous border with Iraq and long-standing border issues with Iraq, Jordan, Lebanon, Turkey, and Israel have contributed to a complex security environment in Syria, compounded by a protracted violent conflict and influx of foreign fighters. The U.S. government particularly warns private U.S. citizens against traveling to Syria to engage in armed conflict. U.S. citizens who undertake such activity face extreme personal risks, including kidnapping, injury, or death. The U.S. government does not support this activity. Our ability to provide consular assistance to individuals who are injured or kidnapped, or to the families of individuals who die in the conflict, is extremely limited. Fighting on behalf of or providing other forms of support to designated terrorist organizations, including ISIS and al-Nusrah Front, can constitute the provision of material support for terrorism, which is a crime under U.S. law that can result in penalties including prison time and large fines. There is an ongoing and increased risk of kidnapping of U.S. citizens and Westerners throughout the country. U.S. citizens remain a target, with many abductions having occurred since mid-2012. Due to risks to civil aviation operating within or in the vicinity of Syria, the Federal Aviation Administration (FAA) has issued a Notice to Airmen (NOTAM) and/or a Special Federal Aviation Regulation (SFAR). For more information U.S. Citizens should consult Federal Aviation Administration’s Prohibitions, Restrictions and Notices . Visit our website on Travel to High Risk Areas . Draft a will and designate appropriate insurance beneficiaries and/or power of attorney. Discuss a plan with loved ones regarding care/custody of children, pets, property, belongings, non-liquid assets (collections, artwork, etc.), funeral wishes, etc. Share important documents, login information, and points of contact with loved ones so that they can manage your affairs, if you are unable to return as planned to the United States. Leave DNA samples with your medical provider in case it is necessary for your family to access them. Find a suggested list of such documents here . Establish your own personal security plan in coordination with your employer or host organization, or consider consulting with a professional security organization. Develop a communication plan with family and/or your employer or host organization so that they can monitor your safety and location as you travel through high-risk areas. This plan should specify who you would contact first, and how they should share the information. Enroll your trip in the State Department's Smart Traveler Enrollment Program (STEP) to receive Alerts and make it easier to locate you in an emergency. Last Update: Reissued with updates to the Risk Indicators."
4,"Do not travel to North Korea due to the serious risk of arrest and long-term detention of U.S. nationals. Individuals cannot use a U.S. passport to travel to, in, or through North Korea without a special validation from the Department of State. Special validations are granted only in very limited circumstances. More information on how to apply for the special validation is available here . The U.S. government is unable to provide emergency services to U.S. citizens in North Korea as it does not have diplomatic or consular relations with North Korea. Sweden serves as the protecting power for the United States in North Korea, providing limited emergency services. The North Korean government routinely delays or denies Swedish officials access to detained U.S. citizens. Due to risks to civil aviation operating within or in the vicinity of North Korea, the Federal Aviation Administration (FAA) has issued a Notice to Airmen (NOTAM) and/or a Special Federal Aviation Regulation (SFAR). For more information U.S. citizens should consult the Federal Aviation Administration’s Prohibitions, Restrictions and Notices . If you receive a special validation to travel to North Korea: Draft a will and designate appropriate insurance beneficiaries and/or power of attorney. Discuss a plan with loved ones regarding care/custody of children, pets, property, belongings, non-liquid assets (collections, artwork, etc.), funeral wishes, etc. Visit our website for Travel to High-Risk Areas . Review the Traveler’s Checklist ."
3,"Reconsider travel to Chad due to crime , terrorism, and minefields. Violent crimes, such as armed robbery, carjacking, and muggings, have been reported. There was a significant increase in these crimes in 2018. Terrorists may attack with little or no warning, targeting foreigners, local security forces, and civilians. They can easily cross borders, including in the Lake Chad region; borders may close without notice. There are unmapped and undocumented minefields along the borders with both Libya and Sudan. The U.S. government has extremely limited ability to provide emergency services to U.S. citizens in Chad as U.S. government employees must obtain special authorization to travel outside of the capital, including the Lake Chad Basin. Monitor local media for breaking events and be prepared to adjust your plans. Be aware of your surroundings. Stay alert in locations frequented by Westerners. Have contingency plans to leave the country. Have evacuation plans that do not rely on U.S. government assistance. Last Update: Reissued after periodic review with minor edits."
2,"Exercise increased caution in Burma due to areas of civil unrest and armed conflict . Some areas have increased risk. Read the entire Travel Advisory. Do not travel to: Buthidaung, Kyauktaw, Maungdaw, Minbya, Mrauk- U, Ponnagyun, and Rathedaung townships in Rakhine State due to civil unrest and armed conflict. Paletwa township in Chin State due to civil unrest and armed conflict Hpakan, Momauk, Sumprabum, Tanai, and Waingmaw townships in Kachin State due to civil unrest and armed conflict . Hpapun township in Kayin State due to civil unrest . Konkyan, Kutkai, Kyaukme, Laukkaing, Matman, Mongmao, Muse, Namphan, Namtu, Pangsang, and Pangwaun townships in Shan State due to civil unrest and armed conflict . Reconsider travel to: Ann, and Myebon townships in Rakhine State due to civil unrest and armed conflict . Matupi township in Chin State due to civil unrest . Bhamo, Mansi, and Mogaung townships in Kachin State due to civil unrest . Hopang, Hseni, Hsipaw, Mongkaung, Namhsan, Nanhkan townships in Shan State due to civil unrest . The following areas of Burma are subject to civil unrest and armed conflict due to fighting between the Burmese military and various ethnic armed groups and militia forces. Northern Shan State Parts of Kachin, Rakhine, and Chin States The Naga Self-Administered Zone in northern Sagaing Region Conflict-affected areas, particularly Northern Shan State and parts of Kachin, Rakhine, and Chin States are subject to land mines and unexploded ordinance. Land mines and unexploded ordnance have injured foreign tourists in conflict affected areas and their locations are often not marked or otherwise identifiable. Review the list of restricted areas published by The Ministry of Hotels and Tourism Make arrangements to stay in a registered hotel or guesthouse , criminal penalties apply for non-compliance. Parts of Rakhine, Chin, Kachin, Kayah, Kayin, Sagaing, and Shan States Some townships in the states listed above are subject to fighting between the Burmese military and armed insurgent groups. The level of risk varies significantly between townships and may change at any time: The U.S. government has limited ability to provide emergency services to U.S. citizens in these townships as U.S. government employees must obtain special authorization to travel to these locations. Review information on Travel to High-Risk Areas . Last Update: Reissued with updates to Level 3 and 4 areas."
2,"Exercise increased caution in Saudi Arabia due to terrorism and the threat of missile and drone attacks on civilian targets. Do not travel to: Within 50 miles of the border with Yemen due to terrorism and armed conflict . Terrorist groups continue plotting possible attacks in Saudi Arabia. Terrorists may attack with little or no warning, targeting tourist locations, transportation hubs, markets/shopping malls, and local government facilities. Terrorists have targeted both Saudi and Western government interests, mosques and other religious sites (both Sunni and Shia), and places frequented by U.S. citizens and other Westerners. Rebel groups operating in Yemen have fired missiles and rockets into Saudi Arabia, specifically targeting populated areas and civilian infrastructure; they have publicly stated their intent to continue doing so. Missile attacks have targeted major cities such as Riyadh and Jeddah, Riyadh’s international airport, Saudi Aramco facilities, and vessels in Red Sea shipping lanes. Rebel groups are also in possession of unmanned aerial systems (drones) which they have used to target civilian infrastructure and military facilities in Saudi Arabia. U.S. citizens living and working on or near such installations, particularly in areas near the border with Yemen, are at heightened risk of missile and drone attack. The U.S. government has limited ability to provide emergency services to U.S. citizens in the following locations as U.S. government personnel and their families are restricted from travel to: Within 50 miles of the Saudi-Yemen border, including the cities of Jizan and Najran; Qatif in the Eastern province and its suburbs, including Awamiyah; and Due to risks to civil aviation operating within the Persian Gulf and the Gulf of Oman region, including Saudi Arabia, the Federal Aviation Administration (FAA) has issued an advisory Notice to Airmen (NOTAM). For more information U.S. citizens should consult the Federal Aviation Administration’s Prohibitions, Restrictions and Notices . Stay alert in locations frequented by Westerners. Obtain comprehensive medical insurance that includes medical evacuation. Yemen Border Violence in Yemen has spilled over into Saudi Arabia on a number of occasions. Rebel forces in Yemen fire artillery at Saudi border towns and launch cross-border attacks against Saudi military personnel. Civilians who are near the border with Yemen are at risk. The U.S. government has limited ability to provide emergency services to U.S. citizens within 50 miles of the Saudi-Yemen border as U.S. government personnel and their families are restricted from travel to this area. Visit our website for Travel to High-Risk Areas Last Update: Reissued with addition of advisory NOTAM."
2,"Exercise increased caution in The Bahamas due to crime . Violent crime, such as burglaries, armed robberies, and sexual assault, occurs even during the day and in tourist areas. Although the family islands are not crime-free, the vast majority of crime occurs on New Providence and Grand Bahama islands. U.S. government personnel are not permitted to visit the area known by many visitors as the Sand Trap area in Nassau due to crime. Activities involving commercial recreational watercraft, including water tours, are not consistently regulated. Watercraft are often not maintained, and many companies do not have safety certifications to operate in The Bahamas. Jet-ski operators have been known to commit sexual assaults against tourists. As a result, U.S. government personnel are not permitted to use jet-ski rentals on New Providence and Paradise Islands. Exercise caution in the area known as ""Over the Hill"" (south of Shirley Street) and the Fish Fry at Arawak Cay in Nassau, especially at night. Do not answer your door at your hotel/residence unless you know who it is. Do not physically resist any robbery attempt. Last Update: Reissued after periodic review with updates to information on crime."
2,"Exercise increased caution in Belgium due to terrorism . Terrorist groups continue plotting possible attacks in Belgium. Terrorists may attack with little or no warning, targeting tourist locations, transportation hubs, markets/shopping malls, local government facilities, hotels, clubs, restaurants, places of worship, parks, major sporting and cultural events, educational institutions, airports, and other public areas. Be aware of your surroundings when traveling to tourist locations and crowded public venues. Follow the instructions of local authorities. Monitor local media for breaking events and adjust your plans based on new information. Review the Traveler’s Checklist ."
2,"Exercise increased caution in Jordan due to terrorism . Some areas have increased risk. Read the entire Travel Advisory. Do not travel to: The border with Syria and Iraq due to terrorism and armed conflict. Terrorist groups continue to plot possible attacks in Jordan. Terrorists may attack with little or no warning, targeting tourist locations, transportation hubs, markets/shopping malls, and local government facilities. Monitor local media for breaking events and adjust your plans based on new information. Avoid demonstrations and protests. Be aware of your surroundings. Stay alert in locations frequented by Westerners. Obtain comprehensive medical insurance that includes medical evacuation. The Border with Syria and Iraq Travelers should avoid Jordan's border with Syria and Iraq given the continued threat of cross-border violence, including the risk of terrorist attacks. All U.S. government personnel on official travel must receive prior permission to visit any area within 10 km of the Jordan-Syria border, except the tourist site of Umm Qais or the city of Irbid. U.S. government personnel must also have permission for official travel on Highway 10 east of the town of Ruwayshid toward the Iraq border, or for official visits to refugee camps anywhere in Jordan. Personal travel by U.S. government employees to the border areas or refugee camps is not permitted. Protests Both planned and impromptu protests may occur throughout Jordan. Avoid demonstrations and follow the guidance of local authorities. Visit our website for High-Risk Travelers ."
