Advisory_Level,Advisory_Text
1,"reissued after periodic review with minor edits. exercise normal precautions when traveling to andorra. country summary : travelers can enter andorra only via spain and france. read the country information page for more information on travel to andorra. if you decide to travel to andorra: enroll in the smart traveler enrollment program step to receive messages and alerts from the u.s. embassy. this makes it easier to locate you in an emergency. prepare a plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel and return to the united states. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage."
4,"reissued after periodic review with updates to reflect the security environment, immigration information, and availability of medical care. do not travel to afghanistan due to civil unrest, crime, terrorism, risk of wrongful detention, kidnapping, and limited health facilities. country summary: the u.s. embassy in kabul suspended operations in . the u.s. government is not able to provide routine or emergency consular services to u.s. citizens in afghanistan. multiple terrorist groups are active in afghanistan and u.s. citizens are targets of kidnapping and hostage-taking. the taliban have harassed and detained aid and humanitarian workers. the activities of foreigners may be viewed with suspicion, and reasons for detention may be unclear. even if you are registered with the appropriate authorities to conduct business, the risk of detention is high. the department has determined there is a risk of wrongful detention of u.s. nationals in afghanistan. additionally, afghan-u.s. citizens and u.s. lawful permanent residents lprs who previously supported the united states for example, as an interpreter in afghanistan may be targeted for detention. the taliban do not regularly permit the united states to conduct welfare checks on u.s. citizens in detention, including by phone. detention can be lengthy. while in detention, u.s. citizens have limited or no access to medical attention and may be subject to physical abuse. u.s. citizens should not travel to afghanistan for any reason, including to accompany eligible family members for relocation. u.s. citizens or lprs do not have to be physically present in afghanistan for their qualifying family members to receive such assistance. for further information on how to assist your family members with the immigrant visa application process or to request relocation assistance for family, please refer to our website . u.s. citizens in afghanistan are urged to depart immediately via commercial means if possible. u.s. citizens who are seeking u.s. government assistance to depart should email complete biographic details and contact information email and phone number, as well as u.s. passport number, to afghanistanacsstate.gov . basic medical care is available in major afghan cities such as kabul but is limited in rural areas. read the country information page for additional information on travel to afghanistan. if you choose to disregard the travel advisory and travel to afghanistan: review your personal security plans. be aware of your surroundings and local security developments at all times. keep a low profile. monitor local media for breaking events and be prepared to adjust your plans. keep travel documents up to date and easily accessible. notify a trusted person of your travel and movement plans. make contingency plans to leave when it is safe to do so that do not rely on u.s. government assistance. draft a will and designate appropriate insurance beneficiaries andor power of attorney. discuss a plan with loved ones regarding carecustody of children, pets, property, belongings, non-liquid assets collections, artwork, etc., funeral wishes, etc. leave dna samples with your medical provider in case it is necessary for your family to access them. enroll in the smart traveler enrollment program step to receive security updates and ensure you can be located in an emergency. follow the department of state on facebook and twitterx . consider the risks involved in traveling while possessing dual u.s. - afghan nationality . visit our website for travel to high-risk areas . read the country security report for afghanistan. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel."
1,"reissued after periodic review with minor edits. exercise normal precautions in antigua and barbuda. read the country information page for additional information on travel to antigua and barbuda. if you decide to travel to antigua and barbuda: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for the eastern caribbean, which includes antigua and barbuda. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel."
1,"reissued after periodic review with minor edits. exercise normal precautions in anguilla. read the country information page for additional information on travel to anguilla. if you decide to travel to anguilla: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for the eastern caribbean, which includes anguilla. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel."
2,"reissued with obsolete covid- page links removed. exercise increased caution in albania due to crime . country summary : law enforcements ability to protect and assist travelers is limited in some areas, especially in remote regions. there has been targeted violence associated with illicit drug networks and organized crime countrywide. travelers should remain aware of their surroundings and the extent of police and emergency services in their area. read the country information page for additional information to albania. if you decide to travel to albania: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for albania. visit the cdc page for the latest travel health information related to your travel. prepare a contingency plan for emergency situations. review the travelers checklist ."
2,"reissued after periodic review with minor edits. exercise increased caution in armenia due to areas of potential armed conflict. some areas have increased risk. read the entire travel advisory. do not travel to these areas for any reason: the border region with azerbaijan. u.s. embassy employees and their families cannot travel to these areas for non-essential reasons: gegharkunik region east of vardenis syunik region east of goris syunik region south of kapan travel through yeraskh village in ararat region is allowed, stopping is not. country summary: u.s. citizens should exercise increased caution in armenia. further military activity could occur in the region. read the country information page for additional information on travel to armenia. if you decide to travel to armenia: enroll in the smart traveler enrollment program step to get important updates and alerts from the u.s. embassy or consulate. enrolling helps the u.s. embassy or consulate contact you or your emergency contact in an emergency. review the country security repor t for armenia. prepare a plan for emergency situations. review the travelers checklist. visit the cdc page for the latest travel health information related to your travel and return to the united states. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancelation coverage. border with azerbaijan level : do not travel past military action has occurred near the armenia-azerbaijan border and there is potential for armed conflict in the area. u.s. citizens should avoid the area. exercise caution on roads near armenias border with azerbaijan. some parts of the road may cross international borders without warning. checkpoints may control roads or authorities may close them to travelers without notice. the u.s. embassy does not allow embassy employees and their families to travel for non-essential reasons to the border region, as well as other areas of armenia listed in this travel advisory. visit our website for travel to high-risk areas."
2,"updated information on health-related issues. exercise increased caution in angola due to crime and health . some areas have increased risk. read the entire travel advisory. violent crime, such as armed robbery, assault, carjacking, and homicide, is common. local police lack the resources to respond effectively to serious criminal incidents. health facilities are under-resourced and may not have adequate facilities or supplies of basic vaccines or medications, especially outside of large cities. always travel with required medicines, including a written prescription for any prescription medicine; most medicine is unavailable, and healthcare is inconsistent. read the country information page for additional information on travel to angola. if you decide to travel to angola: review cdcs travelers health angola . do not physically resist any robbery attempt. use caution when walking or driving at night. keep a low profile. enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for angola. prepare a contingency plan for emergency situations. review the travelers checklist"
2,"exercise increased caution in antarctica due to environmental hazards posed by extreme and unpredictable weather and limited emergency services . there are no u.s. government consular services available to u.s. citizens in the antarctic region. the closest u.s embassies and consulates are in argentina , australia , chile , new zealand , and south africa . u.s. government resources in the antarctic region are committed to the u.s. antarctic program , per longstanding u.s. policy."
1,reissued with updates to crime information. exercise normal precautions in argentina. some areas have increased risk. read the entire travel advisory. exercise increased caution in: city of rosario santa fe province due to crime . read the country information page for additional information on travel to argentina. if you decide to travel to argentina: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and twitter . review the country security report for argentina. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel. city of rosario level : exercise increased caution criminal and narcotics trafficking elements are active in rosario santa fe province resulting in increased crime and violence.
1,reissued after periodic review without changes. exercise normal precautions in austria. read the country information page for additional information on travel to austria. if you decide to travel to austria: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for austria. visit the cdc page for the latest travel health information related to your travel. prepare a contingency plan for emergency situations. review the travelers checklist .
