iso2,gpi_score,ppi_score,numbeo_safety_index,gti_score,numbeo_crime_index
AD,,,84.7,,15.3
AE,1.812,2.518,84.5,1.178,15.5
AF,3.229,4.128,24.9,7.262,75.1
AL,1.812,2.805,55.3,0.0,44.7
AM,1.893,2.826,77.9,0.72,22.1
AO,1.987,3.771,33.7,1.657,66.3
AR,1.768,2.7520000000000002,36.6,0.801,63.4
AT,1.294,1.901,70.5,0.582,29.5
AU,1.5050000000000001,1.731,52.7,1.973,47.3
AZ,2.067,3.428,68.2,0.233,31.8
BA,1.895,,,1.218,
BB,,,55.1,,44.9
BD,2.318,3.634,38.4,3.03,61.6
BE,1.492,1.845,50.6,1.347,49.4
BF,3.016,3.516,,8.581,
BG,1.61,2.657,63.9,0.0,36.1
BH,2.099,3.115,75.5,0.059000000000000004,24.5
BI,2.574,3.937,,4.043,
BJ,2.211,3.293,,4.802,
BN,,,70.7,,29.3
BO,2.005,3.327,35.0,0.0,65.0
BR,2.472,3.123,35.5,1.43,64.5
BS,,,43.1,,56.9
BT,1.536,2.993,,0.0,
BW,1.743,2.89,47.3,0.0,52.7
BY,2.267,3.218,50.2,0.233,49.8
BZ,,,47.3,,52.7
CA,1.491,1.749,54.3,1.87,45.7
CF,2.912,4.32,,0.9570000000000001,
CH,1.294,1.496,73.5,1.265,26.5
CI,2.066,,,1.454,
CL,1.899,2.285,39.5,5.162,60.5
CM,2.683,3.938,34.5,6.944,65.5
CN,2.093,3.085,76.0,1.863,24.0
CO,2.695,3.169,39.1,6.381,60.9
CR,1.843,2.422,45.9,0.0,54.1
CU,2.123,3.359,65.6,0.0,34.4
CY,1.933,2.258,66.9,0.34700000000000003,33.1
CZ,1.435,2.109,73.5,2.906,26.5
DE,1.533,1.744,60.6,4.748,39.4
DJ,2.276,3.708,,1.461,
DK,1.393,1.44,74.0,0.72,26.0
DO,1.996,3.137,39.5,0.0,60.5
DZ,2.042,3.406,47.4,2.415,52.6
EC,2.459,3.223,37.5,1.55,62.5
EE,1.559,2.066,76.3,0.0,23.7
EG,2.157,3.621,52.7,4.416,47.3
ER,2.542,4.16,,0.0,
ES,1.578,2.181,63.4,1.256,36.6
ET,2.688,3.785,49.3,0.787,50.7
FI,1.42,1.438,73.2,0.9490000000000001,26.8
FJ,,,43.4,,56.6
FR,1.967,1.8940000000000001,44.6,2.712,55.4
GA,2.238,3.55,,0.0,
GB,1.6340000000000001,1.977,51.7,2.6390000000000002,48.3
GE,2.185,2.748,73.7,0.0,26.3
GH,1.898,3.053,54.6,0.0,45.4
GM,1.855,,,0.0,
GN,2.253,3.95,,0.0,
GQ,2.004,4.085,,0.0,
GR,1.764,2.394,53.6,2.928,46.4
GT,2.174,3.665,42.3,0.0,57.7
GW,2.112,3.875,,0.0,
GY,2.149,3.217,33.7,0.0,66.3
HN,2.347,3.447,28.0,0.0,72.0
HR,1.519,2.3810000000000002,74.5,0.0,25.5
HT,2.731,3.953,21.1,0.0,78.9
HU,1.5,2.495,66.3,0.0,33.7
ID,1.786,3.203,54.0,4.17,46.0
IE,1.26,1.586,52.4,0.233,47.6
IL,3.108,2.402,68.2,7.463,31.8
IN,2.229,3.246,55.7,6.41,44.3
IQ,2.862,3.88,56.9,6.582,43.1
IR,2.75,3.628,49.5,6.056,50.5
IS,1.095,1.676,74.3,0.123,25.7
IT,1.662,2.223,53.1,0.929,46.9
JM,2.047,2.748,32.6,0.0,67.4
JO,1.957,3.176,60.0,2.913,40.0
JP,1.44,1.777,77.1,0.9490000000000001,22.9
KE,2.392,3.461,44.0,5.366,56.0
KG,1.988,3.392,45.7,0.0,54.3
KH,2.019,3.576,48.7,0.423,51.3
KP,2.911,3.746,45.9,0.0,54.1
KR,1.736,1.969,75.1,0.582,24.9
KV,1.908,2.691,,0.782,
KW,1.642,2.917,67.2,0.0,32.8
KY,,,69.2,,30.8
KZ,1.875,3.117,54.8,0.0,45.2
LA,1.783,3.564,,0.0,
LB,2.674,3.638,53.2,1.237,46.8
LK,2.075,3.25,57.9,0.0,42.1
LR,1.939,3.7,,0.0,
LS,2.267,3.424,,0.0,
LT,1.558,2.159,67.6,0.423,32.4
LU,,,65.8,,34.2
LV,1.558,2.321,62.9,0.423,37.1
LY,2.478,3.894,43.6,1.612,56.4
MA,2.012,3.329,52.2,0.0,47.8
MC,,,76.7,,23.3
MD,1.918,2.975,55.7,0.0,44.3
ME,1.685,2.743,64.6,0.0,35.4
MG,1.895,3.562,,0.0,
ML,3.061,3.738,,7.907,
MN,1.719,2.872,47.9,0.0,52.1
MR,2.204,3.844,,0.0,
MT,,,57.0,,43.0
MU,1.586,2.614,50.0,0.0,50.0
MV,,,45.9,,54.1
MW,1.955,3.444,,0.0,
MX,2.636,3.227,46.6,0.582,53.4
MY,1.469,2.738,51.1,1.6260000000000001,48.9
MZ,2.273,3.599,39.9,6.251,60.1
NA,1.789,3.14,36.5,0.0,63.5
NE,2.759,3.703,,7.776,
NG,2.869,3.913,33.4,7.658,66.6
NI,2.207,3.594,49.2,0.0,50.8
NL,1.491,1.698,73.1,1.402,26.9
NO,1.644,1.455,67.0,1.198,33.0
NP,1.987,3.546,63.3,1.113,36.7
NZ,1.282,1.655,51.8,0.217,48.2
OM,1.738,3.011,81.7,2.927,18.3
PA,2.006,2.823,57.3,0.0,42.7
PE,2.073,3.111,32.9,2.062,67.1
PG,2.23,3.591,19.7,0.0,80.3
PH,2.148,3.332,56.9,5.166,43.1
PK,2.797,3.641,56.3,8.374,43.7
