rank,country,score
1,Burkina Faso,8.581
2,Pakistan,8.374
3,Syria,8.006
4,Mali,7.907
5,Niger,7.776
6,Nigeria,7.658
7,Somalia,7.614
8,Israel,7.463
9,Afghanistan,7.262
10,Cameroon,6.944
11,Myanmar,6.929
12,Democratic Republic of the Congo,6.768
13,Iraq,6.582
14,India,6.41
15,Colombia,6.381
16,Russia,6.267
17,Mozambique,6.251
18,Iran,6.056
19,Kenya,5.366
20,Philippines,5.166
21,Chile,5.162
22,Yemen,5.08
23,Chad,5.032
24,Togo,5.004
25,Palestine,4.93
26,Benin,4.802
27,Germany,4.748
28,Thailand,4.63
29,Egypt,4.416
30,Indonesia,4.17
31,Burundi,4.043
32,T�rkiye,3.968
33,Uganda,3.702
34,United States of America,3.517
35,Bangladesh,3.03
36,Greece,2.928
37,Oman,2.927
38,Jordan,2.913
39,Czechia,2.906
40,France,2.712
41,United Kingdom,2.639
42,Algeria,2.415
43,Tunisia,2.184
44,Peru,2.062
45,Ukraine,2.003
46,Australia,1.973
47,Poland,1.962
48,Canada,1.87
49,China,1.863
50,Sweden,1.842
51,Angola,1.657
52,Malaysia,1.626
53,Libya,1.612
54,Senegal,1.578
55,Tanzania,1.573
56,Ecuador,1.55
57,Djibouti,1.461
58,Cote d' Ivoire,1.454
59,Brazil,1.43
60,Netherlands,1.402
61,Belgium,1.347
62,Switzerland,1.265
63,Spain,1.256
64,Lebanon,1.237
65,Bosnia and Herzegovina,1.218
66,Norway,1.198
67,United Arab Emirates,1.178
68,Nepal,1.113
69,Slovakia,1.023
70,Tajikistan,0.999
71,Central African Republic,0.957
72,Finland,0.949
72,Japan,0.949
74,Italy,0.929
75,Saudi Arabia,0.845
76,Argentina,0.801
77,Ethiopia,0.787
78,Kosovo,0.782
79,Armenia,0.72
79,Denmark,0.72
81,Venezuela,0.71
82,Austria,0.582
82,South Korea,0.582
82,Mexico,0.582
82,Serbia,0.582
86,Cambodia,0.423
86,Lithuania,0.423
86,Latvia,0.423
89,Cyprus,0.347
90,Azerbaijan,0.233
90,Belarus,0.233
90,Ireland,0.233
90,Uzbekistan,0.233
94,New Zealand,0.217
95,Iceland,0.123
96,Eswatini,0.087
97,Paraguay,0.073
98,Bahrain,0.059
98,Uruguay,0.059
100,Albania,0
100,Bulgaria,0
100,Bolivia,0
100,Bhutan,0
100,Botswana,0
100,Republic of the Congo,0
100,Costa Rica,0
100,Cuba,0
100,Dominican Republic,0
100,Eritrea,0
100,Estonia,0
100,Gabon,0
100,Georgia,0
100,Ghana,0
100,Guinea,0
100,The Gambia,0
100,Guinea-Bissau,0
100,Equatorial Guinea,0
100,Guatemala,0
100,Guyana,0
100,Honduras,0
100,Croatia,0
100,Haiti,0
100,Hungary,0
100,Jamaica,0
100,Kazakhstan,0
100,Kyrgyz Republic,0
100,Kuwait,0
100,Laos,0
100,Liberia,0
100,Sri Lanka,0
100,Lesotho,0
100,Morocco,0
100,Moldova,0
100,Madagascar,0
100,North Macedonia,0
100,Montenegro,0
100,Mongolia,0
100,Mauritania,0
100,Mauritius,0
100,Malawi,0
100,Namibia,0
100,Nicaragua,0
100,Panama,0
100,Papua New Guinea,0
100,North Korea,0
100,Portugal,0
100,Qatar,0
100,Romania,0
100,Rwanda,0
100,Sudan,0
100,Singapore,0
100,Sierra Leone,0
100,El Salvador,0
100,South Sudan,0
100,Slovenia,0
100,Turkmenistan,0
100,Timor-Leste,0
100,Trinidad and Tobago,0
100,Taiwan,0
100,Vietnam,0
100,South Africa,0
100,Zambia,0
100,Zimbabwe,0
